QuestionType;Question;QuestionID;Answer
radio;UIST is an amazing conference;q1;5
radio;VR is a beautiful research tool;q2;5
radio;Happiness is the key to success;q3;5
radio;Debugging is awesome;q4;7
radio;I like fixing bugs;q5;7
radio;I would use the VRQuestionnaireToolkit;q6;7
radioGrid;Hololens_The system was easy to use;q7;3
radioGrid;Oculus Rift_The system was easy to use;q7;2
radioGrid;Vive_The system was easy to use;q7;3
radioGrid;Magic Leap_The system was easy to use;q7;3
radioGrid;Hololens_The system was easy to use;q8;4
radioGrid;Oculus Rift_The system was easy to use;q8;3
radioGrid;Vive_The system was easy to use;q8;4
radioGrid;Magic Leap_The system was easy to use;q8;4
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive;q9;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough;q9;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming;q9;
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;2
linearSlider;Physical Demand:				How physically demanding was the task?;s2;3
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;19
linearGrid;Mental Demand:				How mentally demanding was the task?;s4;19
linearGrid;Physical Demand:				How physically demanding was the task?;s5;13
linearGrid;Temporal Demand:		    How hurried or rushed was the pace of the task?;s6;18
dropdown;Demanding;d1;1
dropdown;Mental;d2;0
dropdown;Physical;d3;2

